data,escrv,material,grp.merc.,qtd.faturd
19.05.2019,101  ,198879  ,111002004,        0 
19.05.2019,101  ,190951  ,111002004,        0 
19.05.2019,102  ,184653  ,109004001,        1-
19.05.2019,102  ,161673  ,113001003,        1 
19.05.2019,102  ,186541  ,117001008,        1 
19.05.2019,102  ,194230  ,111001018,        1 
19.05.2019,102  ,186554  ,125001002,        1 
19.05.2019,102  ,125510  ,101001001,        2 
19.05.2019,102  ,196928  ,116002007,        1 
19.05.2019,102  ,181826  ,111001005,        1 
19.05.2019,102  ,191984  ,111001018,        1 
19.05.2019,102  ,180610  ,127002005,        1 
19.05.2019,102  ,196169  ,114001024,        1 
19.05.2019,102  ,192098  ,114001026,        1 
19.05.2019,102  ,189120  ,113002004,        1 
19.05.2019,102  ,190261  ,107001001,        2 
19.05.2019,102  ,190261  ,107001001,        1 
19.05.2019,102  ,184628  ,114001018,        1-
19.05.2019,102  ,180837  ,127001029,        1-
19.05.2019,103  ,195359  ,126002014,        1 
19.05.2019,103  ,198302  ,126002012,        1 
19.05.2019,103  ,198554  ,126002013,        1 
19.05.2019,103  ,198655  ,126002014,        1 
19.05.2019,103  ,189161  ,104001004,        1 
19.05.2019,103  ,181911  ,105003002,        1 
19.05.2019,103  ,104830  ,105001010,        1 
19.05.2019,103  ,191847  ,125002002,        1 
19.05.2019,103  ,199201  ,125002002,        1 
19.05.2019,103  ,193677  ,110001003,        1 
19.05.2019,103  ,198423  ,111001016,        1 
19.05.2019,103  ,188370  ,120011005,        1 
19.05.2019,103  ,197209  ,125002002,        1 
19.05.2019,103  ,198830  ,125002002,        1 
19.05.2019,103  ,180549  ,110001005,        1 
19.05.2019,103  ,197436  ,125002002,        1 
19.05.2019,103  ,7700    ,127001019,        1 
19.05.2019,103  ,113987  ,127001013,        1 
19.05.2019,103  ,141604  ,127001002,        1 
19.05.2019,103  ,166960  ,127001019,        1 
19.05.2019,103  ,167102  ,127001019,        1 
19.05.2019,103  ,170758  ,127001013,        1 
19.05.2019,103  ,170772  ,127001018,        1 
19.05.2019,103  ,172827  ,127003004,        1 
19.05.2019,103  ,176179  ,127001016,        1 
19.05.2019,103  ,192612  ,127001013,        1 
19.05.2019,103  ,193017  ,127001004,        1 
19.05.2019,103  ,58408   ,127001004,        2 
19.05.2019,103  ,154059  ,127002004,        1 
19.05.2019,103  ,161893  ,127001016,        1 
19.05.2019,103  ,170599  ,127001001,        1 
19.05.2019,103  ,187605  ,127001001,        1 
19.05.2019,103  ,193138  ,127001016,        1 
19.05.2019,103  ,127670  ,113001001,        1 
19.05.2019,103  ,188075  ,125002001,        1 
19.05.2019,103  ,7250    ,127001012,        1 
19.05.2019,103  ,177710  ,102001015,        1 
19.05.2019,103  ,194805  ,102001015,        1 
19.05.2019,103  ,198070  ,126002008,        2 
19.05.2019,103  ,181605  ,127001014,        2 
19.05.2019,103  ,187641  ,127001022,        1 
19.05.2019,103  ,197908  ,127001022,        1 
19.05.2019,103  ,192592  ,117007002,        1 
19.05.2019,103  ,175416  ,117001013,        1 
19.05.2019,103  ,193323  ,114001005,        1 
19.05.2019,103  ,193800  ,105001005,        1 
19.05.2019,103  ,136825  ,105001005,        1 
